Genero,Meses,M3SD,M2SD,M1SD,Median,1DS,2SD,3SD
F,164,13.9,15.3,17,19.3,22.4,27,34.3
F,165,13.9,15.3,17.1,19.4,22.5,27.1,34.4
F,166,14,15.4,17.1,19.4,22.6,27.1,34.5
F,167,14,15.4,17.2,19.5,22.7,27.2,34.6
F,168,14,15.4,17.2,19.6,22.7,27.3,34.7
F,169,14.1,15.5,17.3,19.6,22.8,27.4,34.7
F,170,14.1,15.5,17.3,19.7,22.9,27.5,34.8
F,171,14.1,15.6,17.4,19.7,22.9,27.6,34.9
F,172,14.1,15.6,17.4,19.8,23,27.7,35
F,173,14.2,15.6,17.5,19.9,23.1,27.7,35.1
F,174,14.2,15.7,17.5,19.9,23.1,27.8,35.1
F,175,14.2,15.7,17.6,20,23.2,27.9,35.2
F,176,14.3,15.7,17.6,20,23.3,28,35.3
F,177,14.3,15.8,17.6,20.1,23.3,28,35.4
F,178,14.3,15.8,17.7,20.1,23.4,28.1,35.4
F,179,14.3,15.8,17.7,20.2,23.5,28.2,35.5
F,180,14.4,15.9,17.8,20.2,23.5,28.2,35.5
F,181,14.4,15.9,17.8,20.3,23.6,28.3,35.6
F,182,14.4,15.9,17.8,20.3,23.6,28.4,35.7
F,183,14.4,16,17.9,20.4,23.7,28.4,35.7
F,184,14.5,16,17.9,20.4,23.7,28.5,35.8
F,185,14.5,16,17.9,20.4,23.8,28.5,35.8
F,186,14.5,16,18,20.5,23.8,28.6,35.8
F,187,14.5,16.1,18,20.5,23.9,28.6,35.9
F,188,14.5,16.1,18,20.6,23.9,28.7,35.9
F,189,14.5,16.1,18.1,20.6,24,28.7,36
F,190,14.6,16.1,18.1,20.6,24,28.8,36
F,191,14.6,16.2,18.1,20.7,24.1,28.8,36
F,192,14.6,16.2,18.2,20.7,24.1,28.9,36.1
F,193,14.6,16.2,18.2,20.7,24.1,28.9,36.1
F,194,14.6,16.2,18.2,20.8,24.2,29,36.1
F,195,14.6,16.2,18.2,20.8,24.2,29,36.1
F,196,14.6,16.2,18.3,20.8,24.3,29,36.2
F,197,14.6,16.3,18.3,20.9,24.3,29.1,36.2
F,198,14.7,16.3,18.3,20.9,24.3,29.1,36.2
F,199,14.7,16.3,18.3,20.9,24.4,29.1,36.2
F,200,14.7,16.3,18.3,20.9,24.4,29.2,36.2
F,201,14.7,16.3,18.4,21,24.4,29.2,36.3
F,202,14.7,16.3,18.4,21,24.4,29.2,36.3
F,203,14.7,16.3,18.4,21,24.5,29.3,36.3
F,204,14.7,16.4,18.4,21,24.5,29.3,36.3
F,205,14.7,16.4,18.4,21.1,24.5,29.3,36.3
F,206,14.7,16.4,18.4,21.1,24.6,29.3,36.3
F,207,14.7,16.4,18.5,21.1,24.6,29.4,36.3
F,208,14.7,16.4,18.5,21.1,24.6,29.4,36.3
F,209,14.7,16.4,18.5,21.1,24.6,29.4,36.3
F,210,14.7,16.4,18.5,21.2,24.6,29.4,36.3
F,211,14.7,16.4,18.5,21.2,24.7,29.4,36.3
F,212,14.7,16.4,18.5,21.2,24.7,29.5,36.3
F,213,14.7,16.4,18.5,21.2,24.7,29.5,36.3
F,214,14.7,16.4,18.5,21.2,24.7,29.5,36.3
F,215,14.7,16.4,18.6,21.2,24.8,29.5,36.3
F,216,14.7,16.4,18.6,21.3,24.8,29.5,36.3
F,217,14.7,16.5,18.6,21.3,24.8,29.5,36.3
F,218,14.7,16.5,18.6,21.3,24.8,29.6,36.3
F,219,14.7,16.5,18.6,21.3,24.8,29.6,36.3
F,220,14.7,16.5,18.6,21.3,24.8,29.6,36.3
F,221,14.7,16.5,18.6,21.3,24.9,29.6,36.2
F,222,14.7,16.5,18.6,21.3,24.9,29.6,36.2
F,223,14.7,16.5,18.6,21.4,24.9,29.6,36.2
F,224,14.7,16.5,18.6,21.4,24.9,29.6,36.2
F,225,14.7,16.5,18.7,21.4,24.9,29.6,36.2
F,226,14.7,16.5,18.7,21.4,24.9,29.6,36.2
F,227,14.7,16.5,18.7,21.4,25,29.7,36.2
F,228,14.7,16.5,18.7,21.4,25,29.7,36.2
