Genero,Meses,M3SD,M2SD,M1SD,Median,1DS,2SD,3SD
F,188,141.9,148.7,155.5,162.3,169.1,176,182.8
F,189,141.9,148.7,155.6,162.4,169.2,176,182.8
F,190,142,148.8,155.6,162.4,169.2,176,182.8
F,191,142.1,148.9,155.7,162.5,169.3,176.1,182.9
F,192,142.2,148.9,155.7,162.5,169.3,176.1,182.9
F,193,142.2,149,155.8,162.6,169.3,176.1,182.9
F,194,142.3,149.1,155.8,162.6,169.4,176.1,182.9
F,195,142.3,149.1,155.9,162.6,169.4,176.2,182.9
F,196,142.4,149.2,155.9,162.7,169.4,176.2,182.9
F,197,142.4,149.2,155.9,162.7,169.4,176.2,182.9
F,198,142.5,149.2,156,162.7,169.5,176.2,182.9
F,199,142.5,149.3,156,162.7,169.5,176.2,182.9
F,200,142.6,149.3,156,162.8,169.5,176.2,182.9
F,201,142.6,149.4,156.1,162.8,169.5,176.2,182.9
F,202,142.7,149.4,156.1,162.8,169.5,176.2,182.9
F,203,142.7,149.4,156.1,162.8,169.5,176.2,182.9
F,204,142.8,149.5,156.2,162.9,169.5,176.2,182.9
F,205,142.8,149.5,156.2,162.9,169.6,176.2,182.9
F,206,142.9,149.5,156.2,162.9,169.6,176.2,182.9
F,207,142.9,149.6,156.2,162.9,169.6,176.3,182.9
F,208,142.9,149.6,156.3,162.9,169.6,176.3,182.9
F,209,143,149.6,156.3,162.9,169.6,176.3,182.9
F,210,143,149.7,156.3,163,169.6,176.3,182.9
F,211,143.1,149.7,156.3,163,169.6,176.3,182.9
F,212,143.1,149.7,156.4,163,169.6,176.3,182.9
F,213,143.1,149.8,156.4,163,169.6,176.3,182.9
F,214,143.2,149.8,156.4,163,169.7,176.3,182.9
F,215,143.2,149.8,156.4,163,169.7,176.3,182.9
F,216,143.2,149.8,156.5,163.1,169.7,176.3,182.9
F,217,143.3,149.9,156.5,163.1,169.7,176.3,182.9
F,218,143.3,149.9,156.5,163.1,169.7,176.3,182.9
F,219,143.3,149.9,156.5,163.1,169.7,176.3,182.9
F,220,143.4,149.9,156.5,163.1,169.7,176.3,182.9
F,221,143.4,150,156.5,163.1,169.7,176.3,182.9
F,222,143.4,150,156.6,163.1,169.7,176.3,182.9
F,223,143.4,150,156.6,163.1,169.7,176.3,182.8
F,224,143.5,150,156.6,163.1,169.7,176.3,182.8
F,225,143.5,150,156.6,163.1,169.7,176.3,182.8
F,226,143.5,150,156.6,163.2,169.7,176.3,182.8
F,227,143.5,150.1,156.6,163.2,169.7,176.2,182.8
F,228,143.5,150.1,156.6,163.2,169.7,176.2,182.8
